Model,phase,param,opt,min,max,model,pm
Airbus A319,TO,to_v_lof,82.7,72.5,92.9,norm,82.71|7.10
Airbus A319,TO,to_d_tof,1.51,1.06,2.41,gamma,8.56|0.43|0.14
Airbus A319,TO,to_acc_tof,1.84,1.38,2.29,norm,1.84|0.28
Airbus A319,IC,ic_va_avg,80,73,87,norm,80.26|4.86
Airbus A319,IC,ic_vs_avg,12.27,9.52,15.04,norm,12.28|1.68
Airbus A319,CL,cl_d_range,206,157,348,gamma,5.16|138.89|16.28
Airbus A319,CL,cl_v_cas_const,149,140,159,norm,150.02|6.06
Airbus A319,CL,cl_v_mach_const,0.77,0.74,0.8,beta,16.21|6.30|0.62|0.20
Airbus A319,CL,cl_h_cas_const,3.2,2.1,6,gamma,5.22|0.99|0.53
Airbus A319,CL,cl_h_mach_const,8.9,8,9.8,norm,8.93|0.55
Airbus A319,CL,cl_vs_avg_pre_cas,11.1,8.41,13.8,norm,11.11|1.64
Airbus A319,CL,cl_vs_avg_cas_const,10.15,7.63,12.67,norm,10.15|1.53
Airbus A319,CL,cl_vs_avg_mach_const,6.07,3.99,8.16,norm,6.08|1.27
Airbus A319,CR,cr_d_range,299,182,4019,gamma,1.19|173.76|669.46
Airbus A319,CR,cr_v_cas_mean,125,119,139,gamma,4.75|114.21|2.92
Airbus A319,CR,cr_v_cas_max,128,121,148,gamma,3.54|116.92|4.46
Airbus A319,CR,cr_v_mach_mean,0.77,0.74,0.8,norm,0.77|0.02
Airbus A319,CR,cr_v_mach_max,0.79,0.75,0.82,norm,0.79|0.02
Airbus A319,CR,cr_h_init,11.54,10.27,11.97,beta,7.48|2.22|8.11|4.08
Airbus A319,CR,cr_h_mean,11.54,10.21,11.97,beta,7.00|2.13|8.10|4.09
Airbus A319,CR,cr_h_max,11.64,10.3,12.03,beta,6.12|1.89|8.42|3.79
Airbus A319,DE,de_d_range,233,176,473,gamma,3.15|163.83|32.50
Airbus A319,DE,de_v_mach_const,0.76,0.72,0.8,norm,0.76|0.03
Airbus A319,DE,de_v_cas_const,145,136,164,gamma,6.49|126.84|3.35
Airbus A319,DE,de_h_mach_const,9.2,7.7,10.7,norm,9.18|0.92
Airbus A319,DE,de_h_cas_const,5.3,2.6,8.1,norm,5.34|1.66
Airbus A319,DE,de_vs_avg_mach_const,-5.87,-12.13,-2.41,beta,3.27|2.09|-16.27|15.37
Airbus A319,DE,de_vs_avg_cas_const,-9.84,-14.22,-5.45,norm,-9.83|2.66
Airbus A319,DE,de_vs_avg_after_cas,-5.88,-7.69,-4.07,norm,-5.88|1.10
Airbus A319,FA,fa_va_avg,67,63,76,gamma,6.43|57.71|1.84
Airbus A319,FA,fa_vs_avg,-3.42,-4.19,-2.65,norm,-3.42|0.47
Airbus A319,FA,fa_agl,3.15,2.25,4.05,norm,3.15|0.55
Airbus A319,LD,ld_v_app,66.2,61,71.5,norm,66.23|3.65
Airbus A319,LD,ld_d_brk,1.38,0.71,4.18,gamma,2.62|0.28|0.68
Airbus A319,LD,ld_acc_brk,-0.87,-1.79,-0.35,beta,5.62|2.87|-2.90|2.86
Airbus A320,TO,to_v_lof,85.3,74.5,96,norm,85.29|7.47
Airbus A320,TO,to_d_tof,1.65,1.06,2.24,norm,1.65|0.36
Airbus A320,TO,to_acc_tof,1.93,1.5,2.37,norm,1.93|0.27
Airbus A320,IC,ic_va_avg,83,76,89,norm,83.31|4.64
Airbus A320,IC,ic_vs_avg,12.59,9.15,16.04,norm,12.59|2.09
Airbus A320,CL,cl_d_range,257,141,374,norm,258.08|45.16
Airbus A320,CL,cl_v_cas_const,151,140,161,norm,151.04|6.27
Airbus A320,CL,cl_v_mach_const,0.78,0.73,0.8,beta,12.39|3.68|0.60|0.22
Airbus A320,CL,cl_h_cas_const,3.7,1.9,5.4,norm,3.66|1.07
Airbus A320,CL,cl_h_mach_const,8.8,7.9,9.8,norm,8.80|0.58
Airbus A320,CL,cl_vs_avg_pre_cas,10.25,7.63,12.87,norm,10.25|1.59
Airbus A320,CL,cl_vs_avg_cas_const,8.43,6.28,10.6,norm,8.44|1.31
Airbus A320,CL,cl_vs_avg_mach_const,5.28,3.6,6.97,norm,5.29|1.03
Airbus A320,CR,cr_d_range,856,487,4352,gamma,1.71|453.95|569.12
Airbus A320,CR,cr_v_cas_mean,133,124,143,norm,133.62|5.82
Airbus A320,CR,cr_v_cas_max,135,128,154,gamma,4.89|121.28|3.70
Airbus A320,CR,cr_v_mach_mean,0.78,0.75,0.8,beta,17.82|5.05|0.62|0.20
Airbus A320,CR,cr_v_mach_max,0.8,0.77,0.83,norm,0.80|0.02
Airbus A320,CR,cr_h_init,10.82,9.79,11.85,norm,10.82|0.63
Airbus A320,CR,cr_h_mean,10.92,10,11.84,norm,10.92|0.56
Airbus A320,CR,cr_h_max,11.06,10.2,11.92,norm,11.06|0.52
Airbus A320,DE,de_d_range,234,180,457,gamma,3.15|169.28|30.17
Airbus A320,DE,de_v_mach_const,0.77,0.73,0.81,norm,0.77|0.02
Airbus A320,DE,de_v_cas_const,144,135,163,gamma,7.43|124.57|3.15
Airbus A320,DE,de_h_mach_const,9.6,7.9,10.7,beta,4.91|2.91|6.03|5.37
Airbus A320,DE,de_h_cas_const,5.7,3,8.5,norm,5.75|1.66
Airbus A320,DE,de_vs_avg_mach_const,-5.76,-13.45,-2.26,beta,3.52|1.95|-19.00|18.22
Airbus A320,DE,de_vs_avg_cas_const,-10.03,-14.68,-5.35,norm,-10.02|2.84
Airbus A320,DE,de_vs_avg_after_cas,-6.08,-7.88,-4.27,norm,-6.08|1.10
